Time (s),Voltage (V),ln(V)
0,1.608,0.475
3,1.418,0.349
6,1.21,0.191
9,1.025,0.025
12,0.87,-0.139
18,0.632,-0.459
24,0.457,-0.783
36,0.239,-1.431
48,0.132,-2.025
60,0.069,-2.674
