Mass (kg),Period (s),Effective $k$
1,0.730,74.00713079
1,0.731,73.8047874
0.5,0.541,67.37437688
0.5,0.549,65.4251313
0.5,0.547,65.90443469
0.5,0.542,67.12599229
0.7,0.624,70.90031229
0.7,0.633,68.8985223
0.7,0.623,71.12810432
0.7,0.629,69.77760141
