Mass (kg),Period (s),Effective $k$
0.5,1.120,15.72002551
0.5,1.120,15.72002551
0.5,1.120,15.72002551
0.2,0.760,13.65595568
0.2,0.772,13.23471771
0.2,0.770,13.30355878
0.4,1.026,14.98595959
0.4,1.020,15.16278354
0.4,1.012,15.40345889
